Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Computer Management ,Agent bulk state change finished ,412,Info ,Computer '$computer$' completed the state transition of all files from '$param1$' to '$param2$'. Note: Parameters 1 and 2 can be ‘Unapproved’ or ‘Locally Approved’. 
Computer Management ,Agent bulk state change requested ,413,Info ,'$userName$' requested state transition of all files on computer '$computer$' from '$param1$' to '$param2$'. Parameters 1 and 2 can be ‘Unapproved’ or ‘Locally Approved’. 
Computer Management ,Agent config modified ,435,Notice ,Agent configuration property '$param1$' was created as '$param2$' ($param3$) by '$username$'. 
,,,,"Agent configuration property '$param1$' was modified to '$param2$' ($param3$) by '$username$'. Agent configuration property '$param1$', value '$param2$' ($param3$) was deleted by '$username$'."" Examples: "
,,,,Computer retrieved Notifier Logo: Source[$param1$] Attempts[$param2$].  
,,,,Agent configuration property 'KernelWriteExcludePattern' was modified to '/opt/apps/*' (Enabled) by 'bjones@mycorp.local'. 
,,,,Agent configuration property 'protocol_message_versions (Linux)' was modified to 
,,,,"'protocol_message_versions=1:4,2:1,3:1,5:4,6:7,7:5,8:3,9:4,10:1,11:1,12:2,13:1,14:1,15:2,16:1,18:1' (Disabled) by 'rgomez@mycorp.local'. "
Computer Management ,Agent database error ,432,Error ,Cb Protection Agent had to restore its primary database cache. 
,,,,Cb Protection Agent had to rebuild its primary database cache and now has to re-initialize. Cb Protection Agent detected a cache integrity problem. 
,,,,Unknown error initializing database pool. 
,,,,Cb Protection Agent had to restore its primary database cache. 
,,,,Cb Protection Agent had to rebuild its primary database cache and now has to re-initialize. 
,,,,Cb Protection Agent failed to upgrade its database. 
,,,,Cb Protection Agent failed to connect to its cache database. 
,,,,Cb Protection Agent failed to read config list from file. 
,,,,Cb Protection Agent failed cache verification. 
Computer Management ,Agent deleted events ,414,Notice ,Computer '$computer$' deleted $param1$ events. Note: Param1 is a numeric value.    
