key,default_value
eventVersion,1.07
userIdentity_accountId,123456789012
userIdentity_invokedBy,"AWS Internal"
eventTime,%Y-%m-%dT%H:%M:%SZ
eventSource,kms.amazonaws.com
awsRegion,us-east-2
sourceIPAddress,"AWS Internal"
userAgent,"AWS Internal"
requestParameters,
responseElements,
eventID,3538b00f-SAMP
readOnly,false
resources_ARN,arn:aws:kms:us-east-2:123456789012:key/7944f0ec-EXAMPLE
resources_AccountId,123456789012
resources_type,AWS::KMS::Key
recipientAccountId,123456789012
serviceEventDetails_keyId,3538b00f-SAMP
