key,default_value
server_name,"cbtest"
docs_0_host_count,"1"
docs_0_digsig_result,"Signed"
docs_0_observed_filename_0,"c:\\windows\\system32\\werfault.exe"
docs_0_product_version,"6.3.9600.16384"
docs_0_digsig_issuer,"Microsoft Windows Production PCA 2011"
docs_0_signed,"Signed"
docs_0_digsig_sign_time,"2015-05-31T14:28:00Z"
docs_0_is_executable_image,"True"
docs_0_orig_mod_len,"465320"
docs_0_is_64bit,"True"
docs_0_digsig_subject,"Microsoft Windows"
docs_0_digsig_publisher,"Microsoft Corporation"
docs_0_group_0,"Default Group"
docs_0_file_version,"6.3.9600.16384 (winblue_rtm.130821-1623)"
docs_0_company_name,"Microsoft Corporation"
docs_0_internal_name,"WerFault"
docs_0_md5,"6DCD12586353DC6307AC781045CA13A4"
docs_0_product_name,"Microsoft\u00ae Windows\u00ae Operating System"
docs_0_digsig_result_code,"0"
docs_0_timestamp,"2015-11-16T18:19:17.839Z"
docs_0_copied_mod_len,"465320"
docs_0_server_added_timestamp,"2015-11-16T18:19:17.839Z"
docs_0_digsig_prog_name,"Microsoft Windows"
docs_0_endpoint_0,"WIN-OTEMNUTBS23|7"
docs_0_legal_copyright,"\u00a9 Microsoft Corporation. All rights reserved."
docs_0_original_filename,"WerFault.exe.mui"
docs_0_cb_version,"510"
docs_0_os_type,"Windows"
docs_0_file_desc,"Windows Problem Reporting"
docs_0_last_seen,"2015-11-16T18:19:17.839Z"
docs_1_host_count,"1"
docs_1_digsig_result,"Signed"
docs_1_observed_filename_0,"c:\\windows\\system32\\wermgr.exe"
docs_1_product_version,"6.3.9600.17415"
docs_1_digsig_issuer,"Microsoft Windows Production PCA 2011"
docs_1_signed,"Signed"
docs_1_digsig_sign_time,"2015-05-31T14:28:00Z"
docs_1_is_executable_image,"True"
docs_1_orig_mod_len,"139984"
docs_1_is_64bit,"True"
docs_1_digsig_subject,"Microsoft Windows"
docs_1_digsig_publisher,"Microsoft Corporation"
docs_1_group_0,"Default Group"
docs_1_file_version,"6.3.9600.17415 (winblue_r4.141028-1500)"
docs_1_company_name,"Microsoft Corporation"
docs_1_internal_name,"WerMgr"
docs_1_md5,"0BCDEB035B9346D3C3C6C8BB1AA7F38C"
docs_1_product_name,"Microsoft\u00ae Windows\u00ae Operating System"
docs_1_digsig_result_code,"0"
docs_1_timestamp,"2015-11-16T18:19:17.835Z"
docs_1_copied_mod_len,"139984"
docs_1_server_added_timestamp,"2015-11-16T18:19:17.835Z"
docs_1_digsig_prog_name,"Microsoft Windows"
docs_1_endpoint_0,"WIN-OTEMNUTBS23|7"
docs_1_legal_copyright,"\u00a9 Microsoft Corporation. All rights reserved."
docs_1_original_filename,"WerMgr"
docs_1_cb_version,"510"
docs_1_os_type,"Windows"
docs_1_file_desc,"Windows Problem Reporting"
docs_1_last_seen,"2015-11-16T18:19:17.835Z"
docs_2_host_count,"1"
docs_2_digsig_result,"Signed"
docs_2_observed_filename_0,"c:\\windows\\system32\\windowspowershell\\v1.0\\powershell_ise.exe"
docs_2_product_version,"6.3.9600.17399"
docs_2_signed,"Signed"
docs_2_digsig_sign_time,"2014-11-08T08:03:00Z"
docs_2_is_executable_image,"True"
docs_2_orig_mod_len,"256000"
docs_2_is_64bit,"True"
docs_2_digsig_publisher,"Microsoft Corporation"
docs_2_group_0,"Default Group"
docs_2_file_version,"6.3.9600.17399 (winblue_r4.141010-1702)"
docs_2_company_name,"Microsoft Corporation"
docs_2_internal_name,"POWERSHELL_ISE"
docs_2_md5,"FE79F0387DFF3417FFDFAB25E103F8F3"
docs_2_product_name,"Microsoft\u00ae Windows\u00ae Operating System"
docs_2_digsig_result_code,"0"
docs_2_timestamp,"2015-11-16T18:13:49.207Z"
docs_2_copied_mod_len,"256000"
docs_2_server_added_timestamp,"2015-11-16T18:13:49.207Z"
docs_2_endpoint_0,"WIN-OTEMNUTBS23|7"
docs_2_legal_copyright,"\u00a9 Microsoft Corporation. All rights reserved."
docs_2_original_filename,"powershell_ise.EXE"
docs_2_cb_version,"510"
docs_2_os_type,"Windows"
docs_2_file_desc,"Windows PowerShell ISE"
docs_2_last_seen,"2015-11-16T18:13:49.207Z"
docs_3_host_count,"1"
docs_3_digsig_result,"Signed"
docs_3_observed_filename_0,"c:\\windows\\system32\\windowspowershell\\v1.0\\powershell.exe"
docs_3_product_version,"6.3.9600.17415"
docs_3_signed,"Signed"
docs_3_digsig_sign_time,"2014-11-08T08:03:00Z"
docs_3_is_executable_image,"True"
docs_3_orig_mod_len,"478720"
docs_3_is_64bit,"True"
docs_3_digsig_publisher,"Microsoft Corporation"
docs_3_group_0,"Default Group"
docs_3_file_version,"6.3.9600.17415 (winblue_r4.141028-1500)"
docs_3_company_name,"Microsoft Corporation"
docs_3_internal_name,"POWERSHELL"
docs_3_md5,"C031E215B8B08C752BF362F6D4C5D3AD"
docs_3_product_name,"Microsoft\u00ae Windows\u00ae Operating System"
docs_3_digsig_result_code,"0"
docs_3_timestamp,"2015-11-16T18:13:49.132Z"
docs_3_copied_mod_len,"478720"
docs_3_server_added_timestamp,"2015-11-16T18:13:49.132Z"
docs_3_endpoint_0,"WIN-OTEMNUTBS23|7"
docs_3_legal_copyright,"\u00a9 Microsoft Corporation. All rights reserved."
docs_3_original_filename,"PowerShell.EXE"
docs_3_cb_version,"510"
docs_3_os_type,"Windows"
docs_3_file_desc,"Windows PowerShell"
docs_3_last_seen,"2015-11-16T18:13:49.132Z"
docs_4_host_count,"1"
docs_4_digsig_result,"Signed"
docs_4_observed_filename_0,"c:\\windows\\system32\\msiexec.exe"
docs_4_product_version,"5.0.9600.17905"
docs_4_signed,"Signed"
docs_4_digsig_sign_time,"2015-06-16T11:48:00Z"
docs_4_is_executable_image,"True"
docs_4_orig_mod_len,"65024"
docs_4_is_64bit,"True"
