key,default_value
FUTURE_USE,1
Domain,0
Receive Time,%Y-%m-%dT%H:%M:%S
Serial Number,429304
Type,TRAFFIC
Threat/Content Type,end
Generated Time,%Y-%m-%dT%H:%M:%S
Source Address,192.168.204.2
Destination Address,216.105.38.15
NAT Source IP,null
NAT Destination IP,null
Rule Name,AppDefault
Source User,
Destination User,null
Application,web-browsing
Virtual System,vsys1
Source Zone,L3-Untrust
Destination Zone,L3-Trust
Inbound Interface,ethernet1/1
Outbound Interface,ethernet1/2
Log Action,ForwardToLoggingService
Session ID,121423
Repeat Count,0
Source Port,54796
Destination Port,53
NAT Source Port,null
NAT Destination Port,null
Flags,0x402000
Protocol,udp
Action,allow-session
Bytes,4830
Bytes Sent,4000
Bytes Received,830
Packets,5
Start Time,%Y-%m-%dT%H:%M:%S
Elapsed Time,22
Category,any
Sequence Number,0
Action Flags,0xa000000000000000
Source Location,192.168.204.2
Destination Location,Japan
Packets Sent,3
Packets Received,2
Session End Reason,tcp-fin
Device Group Hierarchy Level 1,11
Device Group Hierarchy Level 2,0
Device Group Hierarchy Level 3,0
Device Group Hierarchy Level 4,0
Virtual System Name,null
Device Name,
Action Source,allow
Source VM UUID,53edb37e-9399-4ed4-9aef-8f22413c55b8
Destination VM UUID,ea64d6af-9b03-4757-a414-d8b6142151e0
Tunnel ID/IMSI,0
Monitor Tag/IMEI,
Parent Session ID,0
Parent Start Time,
Tunnel Type,
SCTP Association ID,0
SCTP Chunks,0
SCTP Chunks Sent,0
SCTP Chunks Received,0
Rule UUID,45279041-6062-45db-9788-ada723b64e42
HTTP/2 Connection,
App Flap Count,0
Policy ID,0
Link Switches,0
SD-WAN Cluster,0
SD-WAN Device Type,0
SD-WAN Cluster Type,0
SD-WAN Site,0
Dynamic User Group Name,null
UUID for rule,be7feb38-9e8e-4510-b7ad-b7999d4a5663
