key,default_value
@timestamp,"%Y-%m-%dT%H:%M:%S.000Z"
@metadata_beat,"winlogbeat"
@metadata_type,"_doc"
@metadata_version,"7.9.3"
winlog_user_identifier,"S-1-5-18"
winlog_user_name,"SYSTEM"
winlog_user_domain,"NT AUTHORITY"
winlog_user_type,"Well Known Group"
winlog_channel,"Microsoft-Windows-Sysmon/Operational"
winlog_record_id,"196361"
winlog_api,"wineventlog"
winlog_opcode,"Info"
winlog_process_pid,"2812"
winlog_process_thread_id,"3656"
winlog_event_id,"1"
winlog_provider_name,"Microsoft-Windows-Sysmon"
winlog_computer_name,"MSEDGEWIN10"
winlog_version,"5"
winlog_provider_guid,"{5770385f-c22a-43e0-bf4c-06f5698ffbd9}"
winlog_event_data_UtcTime,"%Y-%m-%d %H:%M:%S.000"
winlog_event_data_LogonId,"0x3e5"
winlog_event_data_Image,"C:\\Users\\IEUser\\Tools\\PrivEsc\\RogueWinRM.exe"
winlog_event_data_Description,"?"
winlog_event_data_ProcessId,"3960"
winlog_event_data_LogonGuid,"{747f3d96-bdd1-5ec9-0000-0020e5030000}"
winlog_event_data_ParentCommandLine,"\"cmd.exe\" "
winlog_event_data_OriginalFileName,"?"
winlog_event_data_ParentProcessId,"8036"
winlog_event_data_ProcessGuid,"{747f3d96-ca4b-5ec9-0000-0010b8cb3700}"
winlog_event_data_FileVersion,"?"
winlog_event_data_Company,"?"
winlog_event_data_ParentImage,"C:\\Windows\\System32\\cmd.exe"
winlog_event_data_Hashes,"SHA1=B3F79385346A863655D33F8EB1060A03FF116B50,MD5=74F57B3E897A4960DCDD5B7E8A54F9DF,SHA256=BAC5FC4FA68E57E2BEE2FC5670BA914EF1707B16F52D2EE773956275E00A5EBB,IMPHASH=B684AEBFA64CE862E264968DC97605F0"
winlog_event_data_Product,"?"
winlog_event_data_IntegrityLevel,"System"
winlog_event_data_ParentProcessGuid,"{747f3d96-bea0-5ec9-0000-001096421600}"
winlog_event_data_User,"NT AUTHORITY\\LOCAL SERVICE"
winlog_event_data_TerminalSessionId,"1"
winlog_event_data_CurrentDirectory,"C:\\Users\\IEUser\\Tools\\PrivEsc\\"
winlog_event_data_CommandLine,"RogueWinRM.exe  -p c:\\Windows\\System32\\cmd.exe"
winlog_task,"Process Create (rule: ProcessCreate)"
event_created,"%Y-%m-%dT%H:%M:%S.000Z"
event_kind,"event"
event_code,"1"
event_provider,"Microsoft-Windows-Sysmon"
event_action,"Process Create (rule: ProcessCreate)"
host_name,"MSEDGEWIN10"
log_file_path,"C:\\scratch\\attacks\\EVTX-ATTACK-SAMPLES\\Privilege Escalation\\RogueWinRM.evtx"
log_level,"information"
message,"Process Create"
agent_version,"7.9.3"
agent_hostname,"WIN-961JOIU6NMG"
agent_ephemeral_id,"91833f5f-887d-4be8-8df5-bc9442bb17ac"
agent_id,"ba85fe7f-bbe4-4e16-bee0-557515213bd8"
agent_name,"WIN-961JOIU6NMG"
agent_type,"winlogbeat"
ecs_version,"1.5.0"
event_time,"%Y-%m-%d %H:%M:%S"
utc_time,"%Y-%m-%d %H:%M:%S.152"
timestamp,"%Y-%m-%dT%H:%M:%S.000Z"
