key,default_value
ConfigBuild,"1007.31.11304.1"
ConfigStateHash,9403815389
ContextProcessId,932494304992735022
ContextThreadId,743885290637038
ContextTimeStamp,%s.000
DomainName,www.example.com
Entitlements,15
RequestType,1
aid,8e00c1bdfb81464ebea0d03760fee069
aip,192.168.0.42
cid,c4014f84073d438e88bdd21309c5696e
event_platform,Mac
event_simpleName,DnsRequest
id,8dc64531-35bd-4d37-90f1-b74fcb058295
name,DnsRequestMacV1
timestamp,%s
ParentProcessId,42435800479051
SourceProcessId,42435800479051
SessionProcessId,4243590427320
SHA1HashData,0000000000000000000000000000000000000000
ProcessEndTime,%s.000
SVUID,0
ParentBaseFileName,bash
EffectiveTransmissionClass,2
ProcessGroupId,45826351452103
RawProcessId,18236
GID,0
SVGID,0
MD5HashData,a7966bf58e23583c9a5a4059383ff850
SHA256HashData,37980c33951de6b0e450c3701b219bfeee930544705f637cd1158b63827bb390
UID,0
CommandLine,/usr/bin/java -XX:+UseConcMarkSweepGC -Dfile.encoding=UTF-8 -Djava.awt.headless=true
TargetProcessId,45826351483916
ImageFileName,/usr/lib/jvm/openjdk-15/jre/bin/java
RGID,0
SourceThreadId,0
Entitlements,12
name,ProcessRollup2LinV6
RUID,0
ProcessStartTime,%s.000
GrandParentBaseFileName,
LocalAddressIP4,0.0.0.0
ConnectionFlags,0
RemotePort,443
LocalPort,0
Protocol,6
RemoteAddressIP4,10.1.2.3
ConnectionDirection,0
InContext,0
ModuleCharacteristics,9876
OriginalEventTimeStamp,%s.000
MappedFromUserMode,1
PrimaryModule,0
