key,default_value
AuthenticationId,"12806"
CommandLine,"C:/Program Files/Windows/calc.exe"
ConfigBuild,"1031.9.0006007.8"
ConfigStateHash,"76754387691"
EffectiveTransmissionClass,"3"
Entitlements,"15"
ImageFileName,"\\Device\\Volume\\Windows\\calc.exe"
ImageSubsystem,"2"
IntegrityLevel,"14930"
MD5HashData,"d470e13f48707fd56ef6b8f03d10720c"
ParentAuthenticationId,"12806"
ParentProcessId,"9374830192812"
ProcessCreateFlags,"0"
ProcessEndTime,""
ProcessParameterFlags,"10392"
ProcessStartTime,"%s.000"
ProcessSxsFlags,"64"
RawProcessId,"10293"
SHA1HashData,"61e9e336515c57aa7bd6931967bbca48f152d07e"
SHA256HashData,"737cf861ce43ca9207d2d93f5e8a3c04bcb85d72b9c1f4b89b8cab2f18fa3734"
SourceProcessId,"102939103231"
SourceThreadId,"199439203849"
TargetProcessId,"583920182"
TokenType,"1"
UserSid,"S-1-2-42"
aid,"00f3eb48591028394bca48591038294e"
aip,"172.16.29.42"
cid,"192dbe48191028019203481910bb3049"
event_platform,"Win"
event_simpleName,"ProcessRollup2"
id,"350bc959-3fc0-4a11-ad51-6a7fc450ff19"
name,"ProcessRollup2V6"
timestamp,%s
UID,"0"
RGID,"0"
RUID,"0"
ContextProcessId,3940592948231
ContextThreadId,199439203849
ContextTimeStamp,%s.000
