key,default_value
FUTURE_USE,1
Domain,0
Receive_Time,%Y-%m-%dT%H:%M:%S
Serial_Number,429304
Type,TRAFFIC
Threat/Content_Type,end
Generated_Time,2021-02-23T22:13:00
Source_Address,192.168.204.2
Destination_Address,216.105.38.15
NAT_Source_IP,null
NAT_Destination_IP,null
Rule_Name,AppDefault
Source_User,
Destination_User,null
Application,web-browsing
Virtual_System,vsys1
Source_Zone,L3-Untrust
Destination_Zone,L3-Trust
Inbound_Interface,ethernet1/1
Outbound_Interface,ethernet1/2
Log_Action,ForwardToLoggingService
Session_ID,121423
Repeat_Count,0
Source_Port,54796
Destination_Port,53
NAT_Source_Port,null
NAT_Destination_Port,null
Flags,0x402000
Protocol,udp
Action,allow-session
Bytes,4830
Bytes_Sent,4000
Bytes_Received,830
Packets,5
Start_Time,2021-02-23T22:13:00
Elapsed_Time,22
Category,any
Sequence_Number,0
Action_Flags,0xa000000000000000
Source_Location,192.168.204.2
Destination_Location,Japan
Packets_Sent,3
Packets_Received,2
Session_End_Reason,tcp-fin
Device_Group_Hierarchy_Level_1,11
Device_Group_Hierarchy_Level_2,0
Device_Group_Hierarchy_Level_3,0
Device_Group_Hierarchy_Level_4,0
Virtual_System_Name,null
Device_Name,
Action_Source,allow
Source_VM_UUID,53edb37e-9399-4ed4-9aef-8f22413c55b8
Destination_VM_UUID,ea64d6af-9b03-4757-a414-d8b6142151e0
Tunnel_ID/IMSI,0
Monitor_Tag/IMEI,
Parent_Session_ID,0
Parent_Start_Time,
Tunnel_Type,
SCTP_Association_ID,0
SCTP_Chunks,0
SCTP_Chunks_Sent,0
SCTP_Chunks_Received,0
Rule_UUID,45279041-6062-45db-9788-ada723b64e42
HTTP/2_Connection,
App_Flap_Count,0
Policy_ID,0
Link_Switches,0
SD-WAN_Cluster,0
SD-WAN_Device_Type,0
SD-WAN_Cluster_Type,0
SD-WAN_Site,0
Dynamic_User_Group_Name,null
UUID_for_rule,be7feb38-9e8e-4510-b7ad-b7999d4a5663
