key,default_value
ts,%s.000000
uid,Cevskm3Ycky5iijFgc
id.origin_h,192.168.0.42
id.origin_p,20903
id.resp_h,93.184.216.34
id.resp_p,80
trans_depth,1
method,GET
host,example.com
uri,/
referrer,-
version,1.1
user_agent,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Pcraft/0.0.7
origin,-
request_body_len,0
response_body_len,37
status_code,200
status_msg,OK
info_code,-
info_msg,-
tags,(empty)
username,-
password,-
proxied,-
orig_fuids,-
orig_filenames,-
orig_mime_types,-
resp_fuids,FT1Zq320WIEeJTuHal
resp_filenames,-
resp_mime_types,text/html
