key,default_value
timestamp,%b %d, %Y @ %H:%M:%S.000
date,%Y-%m-%d
time,%H:%M:%S
devname,SENSOR1
device_id,SENSOR-1007
log_id,0073196548
subtype,anomaly
pri,alert
severity,critical
src,172.16.0.42
dst,93.184.216.34
src_int,port13
dst_int,N/A
serial,0
status,clear_session
proto,17
service,449/udp
vd,root
count,182
src_port,8492
dst_port,449
attack_name,udp_flood
sendor,block_flood
ref,http://www.fortinet.com/ids/VID285212772
user,N/A
group,N/A
msg,"anomaly: udp_flood, 501 > threshold 500, repeats 182 times"
