key,default_value
md5,"9F6F0AE5857535C4125891232D76C12F"
docs_0_file_version,"6.3.9600.17415 (winblue_r4.141028-1500)"
docs_0_product_name,"Microsoft\u00ae Windows\u00ae Operating System"
docs_0_is_executable_image,"false"
docs_0_digsig_result,"Signed"
docs_0_observed_filename_0,"c:\\windows\\syswow64\\credui.dll"
docs_0_cb_version,"510"
docs_0_alliance_updated_wildfire,"2015-09-01T11:02:06.000Z"
docs_0_os_type,"Windows"
docs_0_alliance_link_wildfire,"https://hq-ll-1.bit9.local/malscape/#/task/f0b4cc0138774621a54115befb5d562f"
docs_0_orig_mod_len,"140288"
docs_0_company_name,"Microsoft Corporation"
docs_0_server_added_timestamp,"2015-11-16T18:13:48.927Z"
docs_0_internal_name,"credui.dll"
docs_0_copied_mod_len,"140288"
docs_0_product_version,"6.3.9600.17415"
docs_0_alliance_data_wildfire_0,"Binary_9F6F0AE5857535C4125891232D76C12F"
docs_0_digsig_sign_time,"2014-11-08T07:50:00.000Z"
docs_0_alliance_score_wildfire,"9"
docs_0_digsig_result_code,"0"
docs_0_file_desc,"Credential Manager User Interface"
docs_0_endpoint_0,"WIN-OTEMNUTBS23|7"
docs_0_legal_copyright,"\u00a9 Microsoft Corporation. All rights reserved."
docs_0_original_filename,"credui.dll"
docs_0_host_count,"1"
docs_0_is_64bit,"false"
docs_0_md5,"9F6F0AE5857535C4125891232D76C12F"
docs_0_digsig_publisher,"Microsoft Corporation"
docs_0_group_0,"Default Group"
report_id,"Binary_9F6F0AE5857535C4125891232D76C12F"
report_score,"9"
ioc_type,"md5"
ioc_value,"9f6f0ae5857535c4125891232d76c12f"
ioc_attr,"{}"
hostname,"WIN-OTEMNUTBS23"
group,"Default Group"
sensor_id,"7"
cb_version,"5.1.0.150914.1400"
server_name,"localhost"
feed_id,"33"
feed_name,"wildfire"
event_timestamp,"1447697643.666"
