key,default_value
Domain,0
Receive_Time,2021-02-08T14:38:13
Serial_#,null
Type,THREAT
Threat/Content_Type,spyware
Config_Version,2049.0
Generate_Time,2020-12-08T14:38:05
Source_address,27.110.42.78
Destination_address,192.168.204.2
NAT_Source_IP,null
NAT_Destination_IP,null
Rule,Allow Inbound Web
Source_User,null
Destination_User,null
Application,web-browsing
Virtual_System,vsys1
Source_Zone,L3-Untrust
Destination_Zone,L3-True
Inbound_Interface,ethernet1/1
Outbound_Interface,ethernet1/2
Log_Action,ForwardToLoggingService
Time_Logged,2021-02-08T14:38:05
Session_ID,121423.0
Repeat_Count,0
Source_Port,54796.0
Destination_Port,53.0
NAT_Source_Port,null
NAT_Destination_Port,null
Flags,0x402000
IP_Protocol,udp
Action,alert
URL/Filename,null
Threat/Content_Name,15200(15200)
Category,unknown
Severity,informational
Direction,server-to-client
Sequence_Number,0
Action_Flags,0xa000000000000000
Source_Country,Japan
Destination_Country,192.168.204.2
cpadding,null
contenttype,null
pcap_id,0
filedigest,null
cloud,null
url_idx,23.0
user_agent,null
filetype,null
xff,null
referer,null
sender,null
subject,null
recipient,null
reportid,0
DG_Hierarchy_Level_1,11.0
DG_Hierarchy_Level_2,0
DG_Hierarchy_Level_3,0
DG_Hierarchy_Level_4,0
Virtual_System_Name,null
Device_Name,ngfw
file_url,null
Source_VM_UUID,null
Destination_VM_UUID,null
http_method,null
Tunnel_ID/IMSI,0
Monitor_Tag/IMEI,null
Parent_Session_ID,0
Parent_Session_Start_Time,null
Tunnel,null
thr_category,unknown
contentver,AppThreat-0-0
sig_flags,0x0
SCTP_Association_ID,0
Payload_Protocol_ID,4294967295.0
http_headers,null
