key,default_value
@timestamp,"%Y-%m-%dT%H:%M:%S.000Z"
@metadata_beat,"winlogbeat"
@metadata_type,"_doc"
@metadata_version,"7.9.3"
winlog_user_identifier,"S-1-5-18"
winlog_user_name,"SYSTEM"
winlog_user_domain,"NT AUTHORITY"
winlog_user_type,"Well Known Group"
winlog_channel,"Microsoft-Windows-Sysmon/Operational"
winlog_record_id,"191234"
winlog_api,"wineventlog"
winlog_opcode,"Info"
winlog_process_pid,"2812"
winlog_process_thread_id,"3656"
winlog_event_id,"1"
winlog_provider_name,"Microsoft-Windows-Sysmon"
winlog_computer_name,"MSEDGEWIN10"
winlog_version,"5"
winlog_provider_guid,"{0400933c-4b35-455d-a478-cf9cadb99280}"
winlog_event_data_UtcTime,"%Y-%m-%d %H:%M:%S.000"
winlog_event_data_LogonId,"0x3e5"
winlog_event_data_Image,"C:\\Users\\IEUser\\Tools\\PrivEsc\\RogueWinRM.exe"
winlog_event_data_Description,"?"
winlog_event_data_ProcessId,"3960"
winlog_event_data_LogonGuid,"{0400933c-4b35-455d-a478-cf9cadb99280}"
winlog_event_data_ParentCommandLine,"\"cmd.exe\" "
winlog_event_data_OriginalFileName,"?"
winlog_event_data_ParentProcessId,"8036"
winlog_event_data_ProcessGuid,"{0400933c-4b35-455d-a478-cf9cadb99280}"
winlog_event_data_FileVersion,"?"
winlog_event_data_Company,"?"
winlog_event_data_ParentImage,"C:\\Windows\\System32\\cmd.exe"
winlog_event_data_Hashes,"SHA1=1F09D30C707D53F3D16C530DD73D70A6CE7596A9,MD5=3ADBBAD1791FBAE3EC908894C4963870,SHA256=68E656B251E67E8358BEF8483AB0D51C6619F3E7A1A9F0E75838D41FF368F728,IMPHASH=123456789014CE862E264968DC97605F0"
winlog_event_data_Product,"?"
winlog_event_data_IntegrityLevel,"System"
winlog_event_data_ParentProcessGuid,"{0400933c-4b35-455d-a478-cf9cadb99280}"
winlog_event_data_User,"NT AUTHORITY\\LOCAL SERVICE"
winlog_event_data_TerminalSessionId,"1"
winlog_event_data_CurrentDirectory,"C:\\Users\\IEUser\\Tools\\PrivEsc\\"
winlog_event_data_CommandLine,"RogueWinRM.exe  -p c:\\Windows\\System32\\cmd.exe"
winlog_task,"Process Create (rule: ProcessCreate)"
event_created,"%Y-%m-%dT%H:%M:%S.000Z"
event_kind,"event"
event_code,"1"
event_provider,"Microsoft-Windows-Sysmon"
event_action,"Process Create (rule: ProcessCreate)"
host_name,"MSEDGEWIN10"
log_file_path,"C:\\scratch\\attacks\\EVTX-ATTACK-SAMPLES\\Privilege Escalation\\RogueWinRM.evtx"
log_level,"information"
message,"Process Create"
agent_version,"7.9.3"
agent_hostname,"WIN-1234"
agent_ephemeral_id,"0400933c-4b35-455d-a478-cf9cadb99280"
agent_id,"0400933c-4b35-455d-a478-cf9cadb99280"
agent_name,"WIN-1234"
agent_type,"winlogbeat"
ecs_version,"1.5.0"
event_time,"%Y-%m-%d %H:%M:%S"
utc_time,"%Y-%m-%d %H:%M:%S.152"
timestamp,"%Y-%m-%dT%H:%M:%S.000Z"
