key,default_value
id,30
device,SFW
date,%Y-%m-%d
time,%H:%M:%S
timezone,%Z
device_name,XG330
device_id,A11111AAA1F9R30
log_id,010101600001
log_type,Firewall
log_component,Firewall Rule
log_subtype,Allowed
status,Allow
priority,Information
duration,0
fw_rule_id,73
policy_type,1
user_name,
user_gp,
iap,0
ips_policy_id,0
appfilter_policy_id,0
application,
application_risk,0
application_technology,
application_category,
in_interface,eth0
out_interface,eth1
src_mac,de:4d:be:ef:c4:f3
src_ip,172.16.0.42
src_country_code,R1
dst_ip,172.16.12.32
dst_country_code,R1
protocol,TCP
src_port,42042
dst_port,443
sent_pkts,12341
recv_pkts,9831
sent_bytes,73029
recv_bytes,123493
tran_src_ip,10.1.2.1
tran_src_port,9302
tran_dst_ip,10.1.51.69
tran_dst_port,443
srczonetype,LAN
srczone,LAN
dstzonetype,VPN
dstzone,VPN
dir_disp,
connevent,Start
connid,9304958294
vconnid,
hb_health,"No Heartbeat"
