key,default_value
hostname,example
sendmail_pid,30641
pps_agent,{{{hostname}}}.proofpoint.com
pps_cid,mmeng_uivm071
data,"%Y-%m-%dT%H:%M:%S.000000-%z {{{hostname}}} sendmail[{{{sendmail_pid}}}]: {{{sm_qid}}}: to={{{sm_to_0}}}, ctladdr={{{sm_ctladdr}}}, delay={{{sm_delay}}}, xdelay={{{sm_xdelay}}}, mailer={{{sm_mailer}}}, tls_verify={{{sm_tls_verify}}}, pri={{{sm_pri}}}, dsn={{{sm_dsn}}}, stat={{{sm_stat}}}"
sm_tls_verify,NONE
sm_stat,Sent
sm_qid,v7HLqYbx029423
sm_dsn,2.0.0
sm_mailer,*file*
sm_to_0,"/dev/null"
sm_ctladdr,"<user1@example.com> (8/0)"
sm_delay,00:00:00
sm_xdelay,00:00:00
sm_pri,35342
id,ZeYGULpZmL5N0151HN1OyA
