key,default_value
FUTURE_USE,1
Receive_Time,2021-02-23T22:13:00
Serial_Number,429304
Type,THREAT
Threat/Content_Type,vulnerability
Generated_Time,2021-02-23T22:13:00
Source_IP,216.105.38.15
Destination_IP,192.168.204.2
NAT_Source_IP,
NAT_Destination_IP,
Rule_Name,web-jam
Source_User,
Destination_User,
Application,web-browsing
Virtual_System,
Source_Zone,untrust
Destination_Zone,vpc01
Inbound_Interface,ethernet1/1
Outbound_Interface,ethernet1/2
Log_Action,alert
Session_ID,121423
Repeat_Count,true
Source_Port,54796
Destination_Port,443
NAT_Source_Port,
NAT_Destination_Port,
Flags,0x01000000
Protocol,tcp
Action,alert
URL/Filename,docs.paloaltonetworks.com/pan-os/8-1/pan-os-admin/monitoring/use-syslog-for-monitoring/syslog-field-descriptions/threat-log-fields.html
Threat_ID,(9999)
Category,unknown
Severity,low
Direction,1
Sequence_Number,0
Action_Flags,0xa000000000000000
Source_Location,United States
Destination_Location,192.167.204.0-192.167.204.255
Content_Type,
PCAP_ID,
File_Digest,
Cloud,
URL_Index,
User_Agent,
File_Type,
X-Forwarded-For,
Referer,
Sender,
Subject,
Recipient,
Report_ID,
Device_Group_Hierarchy_Level_1,
Device_Group_Hierarchy_Level_2,
Device_Group_Hierarchy_Level_3,
Device_Group_Hierarchy_Level_4,
Virtual_System_Name,
Device_Name,
Source_VM_UUID,
Destination_VM_UUID,
HTTP_Method,
Tunnel_ID/IMSI,
Monitor_Tag/IMEI,
Parent_Session_ID,
Parent_Start_Time,
Tunnel_Type,
Threat_Category,
Content_Version,
SCTP_Association_ID,
Payload_Protocol_ID,
HTTP_Headers,

